ticker,company_name,sector,provider_symbol
SAHOL,Haci Omer Sabanci Holding,Conglomerates,SAHOL.IS
SASA,Sasa Polyester Sanayi,Chemicals,SASA.IS
SISE,Turkiye Sise ve Cam Fabrikalari,Industrials,SISE.IS
SKBNK,Sekerbank,Banking,SKBNK.IS
SMRTG,Smart Gunes Enerjisi Teknolojileri,Energy,SMRTG.IS
SOKM,Sok Marketler Ticaret,Retail,SOKM.IS
TABGD,Tab Gida Sanayi ve Ticaret,Food,TABGD.IS
TAVHL,TAV Havalimanlari Holding,Transportation,TAVHL.IS
TCELL,Turkcell Iletisim Hizmetleri,Telecommunications,TCELL.IS
THYAO,Turk Hava Yollari,Airlines,THYAO.IS
TKFEN,Tekfen Holding,Construction,TKFEN.IS
TKNSA,Teknosa Ic ve Dis Ticaret,Retail,TKNSA.IS
TOASO,Tofas Turk Otomobil Fabrikasi,Automotive,TOASO.IS
TTKOM,Turk Telekomunikasyon,Telecommunications,TTKOM.IS
TTRAK,Turk Traktor ve Ziraat Makineleri,Industrials,TTRAK.IS
TUPRS,Tupras Turkiye Petrol Rafinerileri,Energy,TUPRS.IS
TURSG,Turkiye Sigorta,Insurance,TURSG.IS
ULKER,Ulker Biskuvi Sanayi,Food,ULKER.IS
VAKBN,Turkiye Vakiflar Bankasi,Banking,VAKBN.IS
VESBE,Vestel Beyaz Esya Sanayi ve Ticaret,Consumer Durables,VESBE.IS
VESTL,Vestel Elektronik Sanayi ve Ticaret,Consumer Durables,VESTL.IS
YKBNK,Yapi ve Kredi Bankasi,Banking,YKBNK.IS
ZOREN,Zorlu Enerji Elektrik Uretim,Energy,ZOREN.IS
AKFYE,Akfen Yenilenebilir Enerji,Energy,AKFYE.IS
BASGZ,Basaksehir Futbol Sportif Sanayi ve Ticaret,Sports,BASGZ.IS
BINHO,BIN Holding,Conglomerates,BINHO.IS
CANTE,Cantek Holding,Energy,CANTE.IS
DGATE,D-Gate Elektrik Elektronik,Technology,DGATE.IS
EBEBK,Ebebek Magazacilik,Retail,EBEBK.IS
EUREN,Europower Enerji,Energy,EUREN.IS
GENIL,Gen Ilac ve Saglik Urunleri Sanayi,Pharmaceuticals,GENIL.IS
INDES,Indes Bilisim Teknolojileri Dagitim,Technology,INDES.IS
KAYSE,Kayseri Seker Fabrikasi,Food,KAYSE.IS
KLSER,Kaleseramik Canakkale Kalebodur Seramik Sanayi,Building Materials,KLSER.IS
KMPUR,KM Cevre Hizmetleri ve Muhendislik,Industrials,KMPUR.IS
MIATK,Mia Teknoloji,Technology,MIATK.IS
ONRYT,Onritmik Teknoloji,Technology,ONRYT.IS
PAPIL,Papilon Savunma,Defense,PAPIL.IS
PENTA,Penta Teknoloji Urunleri Dagitim,Technology,PENTA.IS
QUAGR,QUA Granite Hayal Yapi ve Urunleri Sanayi,Building Materials,QUAGR.IS
REEDR,Reedr Teknoloji,Technology,REEDR.IS
TRILC,Turk Ilac ve Serum Sanayi,Pharmaceuticals,TRILC.IS
TUREX,Tureks Turizm Tasimicilik,Transportation,TUREX.IS
YEOTK,Yeo Teknoloji Enerji ve Sanayi,Technology,YEOTK.IS
