source,target,te_forward,te_backward,net_te,dominant_direction
CP5,Fp2,0.006585,0.015718,-0.009133,Fp2->CP5
Fp2,PO4,0.016584,0.007484,0.0091,Fp2->PO4
CP1,Pz,0.009833,0.018881,-0.009048,Pz->CP1
CP5,Fpz,0.005124,0.014154,-0.00903,Fpz->CP5
CP3,Pz,0.011211,0.020193,-0.008982,Pz->CP3
Fpz,P7,0.015765,0.006842,0.008924,Fpz->P7
Fp1,P8,0.017443,0.008526,0.008917,Fp1->P8
CP6,Fpz,0.005937,0.014641,-0.008704,Fpz->CP6
Fpz,POz,0.016005,0.007364,0.008641,Fpz->POz
Fp1,PO3,0.017131,0.008581,0.008551,Fp1->PO3
Fp2,PO7,0.01576,0.00721,0.00855,Fp2->PO7
Fp2,P8,0.016471,0.007928,0.008543,Fp2->P8
Fp1,O1,0.016761,0.00826,0.008501,Fp1->O1
AFz,PO4,0.014963,0.006509,0.008453,AFz->PO4
AFz,O1,0.01451,0.006087,0.008423,AFz->O1
Fp1,P3,0.017653,0.00926,0.008393,Fp1->P3
Fp1,PO4,0.016774,0.008402,0.008372,Fp1->PO4
Fp1,AF4,0.024533,0.016162,0.008371,Fp1->AF4
CP1,P2,0.011412,0.019754,-0.008342,P2->CP1
Fp2,Oz,0.01599,0.007671,0.008319,Fp2->Oz
AFz,Oz,0.014965,0.006657,0.008309,AFz->Oz
CP1,Fp2,0.009005,0.017269,-0.008264,Fp2->CP1
Fp2,P4,0.016189,0.007928,0.008261,Fp2->P4
Fp2,P6,0.015364,0.00713,0.008234,Fp2->P6
Fp1,P6,0.016411,0.008189,0.008222,Fp1->P6
AFz,P8,0.014655,0.006588,0.008068,AFz->P8
Fp2,PO8,0.014384,0.006375,0.008009,Fp2->PO8
Fpz,F2,0.019426,0.011421,0.008005,Fpz->F2
Fp2,P5,0.015312,0.007338,0.007974,Fp2->P5
Fp1,Oz,0.0166,0.008644,0.007956,Fp1->Oz
Fp1,PO8,0.015163,0.007224,0.00794,Fp1->PO8
Fp2,F6,0.020521,0.01259,0.007932,Fp2->F6
Fpz,Iz,0.016664,0.008769,0.007895,Fpz->Iz
AFz,PO8,0.012966,0.005071,0.007895,AFz->PO8
AF3,P8,0.016887,0.008994,0.007894,AF3->P8
C1,Pz,0.011643,0.019493,-0.007851,Pz->C1
CP6,Fp1,0.00856,0.016401,-0.007842,Fp1->CP6
Fp2,P7,0.015833,0.008023,0.00781,Fp2->P7
Fpz,F6,0.016632,0.008845,0.007788,Fpz->F6
Fpz,F1,0.018102,0.010353,0.007749,Fpz->F1
Fpz,AF3,0.023497,0.01578,0.007717,Fpz->AF3
CP1,POz,0.01079,0.018426,-0.007636,POz->CP1
C4,Fpz,0.008514,0.016117,-0.007603,Fpz->C4
AFz,PO3,0.014503,0.006913,0.00759,AFz->PO3
Fp1,PO7,0.01571,0.00816,0.007551,Fp1->PO7
AFz,F2,0.013818,0.00627,0.007548,AFz->F2
CP2,Fpz,0.005974,0.013508,-0.007534,Fpz->CP2
C3,Fp2,0.00848,0.015976,-0.007497,Fp2->C3
Fpz,F4,0.019269,0.01182,0.007449,Fpz->F4
CP3,P2,0.01373,0.021172,-0.007441,P2->CP3
Fp1,P4,0.016412,0.009004,0.007408,Fp1->P4
CP3,P1,0.007212,0.014559,-0.007347,P1->CP3
Fp2,P1,0.016109,0.008763,0.007346,Fp2->P1
AF7,P8,0.015474,0.008206,0.007268,AF7->P8
Fpz,TP8,0.015723,0.008535,0.007188,Fpz->TP8
CP3,POz,0.011682,0.018834,-0.007152,POz->CP3
Fp2,O2,0.014664,0.007604,0.00706,Fp2->O2
AFz,P6,0.013057,0.006019,0.007039,AFz->P6
C4,Fp1,0.009618,0.016638,-0.007019,Fp1->C4
Fp1,TP8,0.017215,0.010232,0.006983,Fp1->TP8
CP3,AF8,0.007309,0.014258,-0.006949,AF8->CP3
Fp2,P2,0.015297,0.008402,0.006895,Fp2->P2
Fpz,F3,0.016867,0.009979,0.006888,Fpz->F3
AFz,PO7,0.013193,0.006309,0.006884,AFz->PO7
CPz,Pz,0.009676,0.016552,-0.006876,Pz->CPz
Fpz,Fz,0.016479,0.009631,0.006848,Fpz->Fz
Fp1,O2,0.015206,0.008413,0.006793,Fp1->O2
CP1,Fp1,0.009585,0.01635,-0.006764,Fp1->CP1
AF3,PO4,0.015504,0.008874,0.00663,AF3->PO4
C1,P2,0.012274,0.018894,-0.00662,P2->C1
AF3,P6,0.015341,0.008724,0.006616,AF3->P6
AF3,PO8,0.014111,0.007518,0.006593,AF3->PO8
Fp1,P7,0.01531,0.008718,0.006592,Fp1->P7
Cz,Pz,0.011884,0.018438,-0.006554,Pz->Cz
AFz,F3,0.011905,0.005359,0.006546,AFz->F3
Fpz,AF7,0.01964,0.013099,0.006541,Fpz->AF7
Fp1,P5,0.014382,0.007876,0.006506,Fp1->P5
CPz,Fp2,0.00936,0.015864,-0.006504,Fp2->CPz
Fp1,P2,0.015572,0.009132,0.00644,Fp1->P2
AF3,O1,0.01451,0.00809,0.006421,AF3->O1
Fp2,Iz,0.015864,0.009466,0.006398,Fp2->Iz
C3,P8,0.01498,0.008587,0.006393,C3->P8
CP6,Fp2,0.008079,0.014444,-0.006365,Fp2->CP6
C3,Fpz,0.008918,0.015278,-0.00636,Fpz->C3
AFz,F1,0.011763,0.005403,0.00636,AFz->F1
C1,P1,0.009796,0.016113,-0.006317,P1->C1
CP4,AF7,0.010248,0.016558,-0.00631,AF7->CP4
AF7,O1,0.01389,0.007591,0.006299,AF7->O1
Fp2,Pz,0.015455,0.009188,0.006267,Fp2->Pz
AFz,O2,0.013125,0.006868,0.006257,AFz->O2
CP4,Pz,0.009937,0.016173,-0.006236,Pz->CP4
Fp1,P1,0.015466,0.009243,0.006222,Fp1->P1
AF7,PO8,0.013171,0.00699,0.006181,AF7->PO8
CP1,P1,0.007626,0.013767,-0.006141,P1->CP1
AFz,P3,0.015367,0.009232,0.006135,AFz->P3
AF7,PO4,0.013982,0.007901,0.006081,AF7->PO4
AFz,P4,0.013861,0.007805,0.006057,AFz->P4
Fp2,POz,0.014812,0.008772,0.00604,Fp2->POz
Fp1,Fpz,0.012362,0.018401,-0.006039,Fpz->Fp1
C5,P6,0.013615,0.007575,0.006039,C5->P6
CP5,Fp1,0.007225,0.013263,-0.006039,Fp1->CP5
Fpz,F5,0.014939,0.008909,0.00603,Fpz->F5
AF3,Oz,0.015122,0.009103,0.00602,AF3->Oz
CP6,AF7,0.008849,0.014779,-0.00593,AF7->CP6
Fp2,TP7,0.013337,0.007412,0.005925,Fp2->TP7
AF7,P6,0.014265,0.008372,0.005893,AF7->P6
AF3,TP8,0.017366,0.011487,0.005879,AF3->TP8
AF7,PO3,0.013797,0.00797,0.005828,AF7->PO3
Fp2,TP8,0.015248,0.009466,0.005782,Fp2->TP8
CPz,POz,0.010733,0.016513,-0.00578,POz->CPz
AFz,Fz,0.010578,0.004821,0.005757,AFz->Fz
AF3,PO3,0.014831,0.009076,0.005756,AF3->PO3
CP1,P4,0.015568,0.021318,-0.00575,P4->CP1
CP5,AF8,0.005759,0.011487,-0.005727,AF8->CP5
AF7,Oz,0.013866,0.008143,0.005723,AF7->Oz
CPz,Fp1,0.01014,0.015846,-0.005706,Fp1->CPz
CPz,P2,0.010512,0.016174,-0.005662,P2->CPz
Fp2,F1,0.015787,0.010128,0.005659,Fp2->F1
C3,P6,0.016424,0.010791,0.005633,C3->P6
Fp1,Iz,0.016606,0.011001,0.005605,Fp1->Iz
Fpz,TP7,0.011926,0.006343,0.005583,Fpz->TP7
AF3,P3,0.016084,0.010528,0.005555,AF3->P3
AF7,TP8,0.01537,0.009839,0.005531,AF7->TP8
Fp2,AFz,0.021954,0.016425,0.005529,Fp2->AFz
Cz,P2,0.011854,0.017353,-0.005499,P2->Cz
AF7,P3,0.013746,0.008318,0.005429,AF7->P3
C5,P8,0.012339,0.006936,0.005403,C5->P8
AF3,F5,0.017867,0.012475,0.005392,AF3->F5
C5,Fp2,0.007209,0.012584,-0.005375,Fp2->C5
CP4,AF3,0.012806,0.018172,-0.005366,AF3->CP4
C1,Fpz,0.008727,0.014085,-0.005359,Fpz->C1
CP6,AF3,0.009987,0.015333,-0.005346,AF3->CP6
Fp1,POz,0.014739,0.009396,0.005344,Fp1->POz
C4,AF7,0.009337,0.014678,-0.005341,AF7->C4
Fp1,Pz,0.015014,0.009676,0.005338,Fp1->Pz
Fp2,F2,0.020395,0.01507,0.005325,Fp2->F2
AF7,PO7,0.012696,0.007371,0.005325,AF7->PO7
AFz,Iz,0.013834,0.00852,0.005313,AFz->Iz
C3,AF8,0.006312,0.011606,-0.005295,AF8->C3
CP3,CPz,0.004814,0.01006,-0.005246,CPz->CP3
C4,Fp2,0.008704,0.013949,-0.005246,Fp2->C4
C1,Fp2,0.008589,0.013834,-0.005245,Fp2->C1
CP3,AF7,0.007641,0.012885,-0.005244,AF7->CP3
Fp2,F4,0.02228,0.01706,0.00522,Fp2->F4
C5,P4,0.013392,0.008228,0.005164,C5->P4
CP3,AF3,0.010982,0.016077,-0.005096,AF3->CP3
AFz,P2,0.013633,0.00854,0.005093,AFz->P2
C4,P7,0.014438,0.00935,0.005088,C4->P7
FC3,C1,0.008943,0.003874,0.005069,FC3->C1
AF3,O2,0.013951,0.00889,0.00506,AF3->O2
AF3,F7,0.019832,0.014775,0.005057,AF3->F7
AF3,PO7,0.013718,0.008661,0.005057,AF3->PO7
AFz,P1,0.013816,0.008776,0.005041,AFz->P1
T8,T10,0.006026,0.011022,-0.004995,T10->T8
Fp2,Fz,0.015518,0.010528,0.00499,Fp2->Fz
CP4,P1,0.013442,0.018427,-0.004984,P1->CP4
C2,Fpz,0.008393,0.013346,-0.004953,Fpz->C2
Fp1,F2,0.017389,0.012441,0.004948,Fp1->F2
AFz,F6,0.012865,0.007918,0.004946,AFz->F6
Fpz,AF8,0.014225,0.00928,0.004945,Fpz->AF8
Fp2,F3,0.015902,0.010994,0.004908,Fp2->F3
CP3,P3,0.006479,0.011366,-0.004886,P3->CP3
C2,Pz,0.01127,0.016138,-0.004869,Pz->C2
Cz,P1,0.011284,0.016131,-0.004847,P1->Cz
Fp1,F4,0.017897,0.013068,0.004829,Fp1->F4
AF8,O1,0.011204,0.006387,0.004817,AF8->O1
AFz,POz,0.012579,0.007766,0.004814,AFz->POz
Fp1,F3,0.021947,0.01714,0.004807,Fp1->F3
C4,P5,0.015898,0.011097,0.004801,C4->P5
Fp1,F6,0.016898,0.012106,0.004792,Fp1->F6
Fp1,F1,0.019674,0.014883,0.00479,Fp1->F1
C3,CPz,0.005257,0.010045,-0.004788,CPz->C3
AF3,P4,0.014587,0.009811,0.004777,AF3->P4
C1,CPz,0.003817,0.00859,-0.004773,CPz->C1
C4,PO7,0.015592,0.010828,0.004765,C4->PO7
AF7,P4,0.013655,0.008961,0.004694,AF7->P4
C3,P1,0.008807,0.013488,-0.004682,P1->C3
AF7,P7,0.012143,0.007507,0.004635,AF7->P7
AF7,P5,0.011614,0.006991,0.004623,AF7->P5
C1,POz,0.011571,0.016187,-0.004616,POz->C1
CP4,POz,0.011169,0.015772,-0.004603,POz->CP4
C5,PO8,0.01177,0.007174,0.004595,C5->PO8
Fp1,F7,0.014641,0.010081,0.004561,Fp1->F7
FC3,T10,0.003906,0.008462,-0.004556,T10->FC3
FC1,T10,0.003003,0.007558,-0.004555,T10->FC1
AF8,F6,0.020083,0.015529,0.004554,AF8->F6
Fp2,F8,0.011585,0.007041,0.004544,Fp2->F8
CP4,P2,0.007939,0.012483,-0.004543,P2->CP4
AF7,O2,0.012333,0.007795,0.004538,AF7->O2
Cz,Fpz,0.009154,0.01365,-0.004496,Fpz->Cz
CP3,CP2,0.007209,0.011681,-0.004472,CP2->CP3
CP3,P4,0.018227,0.022693,-0.004466,P4->CP3
CPz,P1,0.01016,0.014622,-0.004462,P1->CPz
CP2,Fp2,0.006857,0.011313,-0.004456,Fp2->CP2
Fp1,F5,0.018194,0.013763,0.00443,Fp1->F5
AF7,AF4,0.019047,0.014619,0.004428,AF7->AF4
C6,Fp1,0.008344,0.012729,-0.004384,Fp1->C6
CP3,AFz,0.011368,0.015749,-0.00438,AFz->CP3
AFz,P7,0.011819,0.007453,0.004366,AFz->P7
C1,P8,0.013803,0.009437,0.004366,C1->P8
C4,AF3,0.012697,0.017047,-0.00435,AF3->C4
CP4,AF8,0.00662,0.01094,-0.00432,AF8->CP4
C2,P7,0.012253,0.007957,0.004296,C2->P7
C5,PO4,0.012316,0.008026,0.004289,C5->PO4
C4,CPz,0.004957,0.009243,-0.004286,CPz->C4
F4,P3,0.008363,0.012645,-0.004283,P3->F4
C6,PO7,0.012347,0.008071,0.004276,C6->PO7
C6,PO3,0.012301,0.008029,0.004272,C6->PO3
AF7,Iz,0.013679,0.009411,0.004268,AF7->Iz
C6,P5,0.012709,0.00845,0.004259,C6->P5
AF8,P7,0.010949,0.0067,0.004249,AF8->P7
AF8,PO4,0.010292,0.006064,0.004228,AF8->PO4
Fp1,Fz,0.01601,0.011785,0.004225,Fp1->Fz
AF3,F3,0.018971,0.014752,0.004218,AF3->F3
Fpz,F7,0.010821,0.006628,0.004193,Fpz->F7
AF3,P2,0.01445,0.010267,0.004184,AF3->P2
AF8,PO3,0.011415,0.007234,0.004181,AF8->PO3
AF8,PO8,0.009076,0.004901,0.004174,AF8->PO8
CP4,AFz,0.011165,0.015325,-0.00416,AFz->CP4
Fp1,AFz,0.023465,0.019312,0.004153,Fp1->AFz
FC4,C2,0.006789,0.00264,0.004149,FC4->C2
AF3,T8,0.013687,0.009545,0.004142,AF3->T8
C5,AF8,0.005556,0.009662,-0.004106,AF8->C5
AF8,P8,0.010016,0.005912,0.004104,AF8->P8
Fp2,AF8,0.013027,0.008946,0.004082,Fp2->AF8
Fp2,AF3,0.022846,0.018764,0.004082,Fp2->AF3
AF3,P1,0.014537,0.010459,0.004078,AF3->P1
C3,CP6,0.010216,0.006143,0.004073,C3->CP6
Fp2,T7,0.010409,0.006341,0.004069,Fp2->T7
Fpz,Fp2,0.016322,0.012276,0.004046,Fpz->Fp2
C3,TP8,0.013244,0.009206,0.004038,C3->TP8
CP3,AF4,0.01062,0.014628,-0.004008,AF4->CP3
F4,P5,0.0063,0.010306,-0.004007,P5->F4
F4,P1,0.007701,0.011705,-0.004004,P1->F4
C3,Fp1,0.009417,0.01342,-0.004003,Fp1->C3
FC6,C2,0.007486,0.003484,0.004002,FC6->C2
AF3,F2,0.013764,0.009769,0.003995,AF3->F2
AF3,F1,0.013805,0.009811,0.003994,AF3->F1
AF3,Iz,0.015003,0.011014,0.00399,AF3->Iz
AF8,Oz,0.010351,0.006364,0.003986,AF8->Oz
CP1,AF8,0.007349,0.01133,-0.003981,AF8->CP1
C3,Iz,0.012399,0.008432,0.003966,C3->Iz
AFz,TP8,0.012506,0.008541,0.003965,AFz->TP8
AF3,P7,0.013097,0.009139,0.003958,AF3->P7
Fp1,TP7,0.012006,0.00805,0.003956,Fp1->TP7
AF7,T8,0.01235,0.008418,0.003932,AF7->T8
F4,POz,0.0066,0.010528,-0.003928,POz->F4
C2,P2,0.010258,0.014161,-0.003904,P2->C2
C4,Iz,0.014205,0.010303,0.003902,C4->Iz
C6,AF7,0.00823,0.012131,-0.003901,AF7->C6
Fp1,T8,0.012666,0.008773,0.003894,Fp1->T8
AFz,Pz,0.013426,0.00954,0.003886,AFz->Pz
AF3,F4,0.014773,0.010898,0.003875,AF3->F4
C6,Fpz,0.007013,0.010882,-0.003868,Fpz->C6
AF3,P5,0.012315,0.008448,0.003867,AF3->P5
C5,O2,0.011364,0.007499,0.003865,C5->O2
CPz,P4,0.012653,0.016519,-0.003865,P4->CPz
C3,P3,0.008373,0.012237,-0.003864,P3->C3
Fp2,F5,0.015321,0.01146,0.003861,Fp2->F5
AF8,PO7,0.009895,0.006035,0.00386,AF8->PO7
T7,T9,0.007481,0.011328,-0.003846,T9->T7
C6,P3,0.012893,0.009055,0.003838,C6->P3
Fpz,F8,0.008612,0.004796,0.003816,Fpz->F8
Cz,POz,0.011628,0.015444,-0.003816,POz->Cz
AFz,P5,0.01053,0.006719,0.003811,AFz->P5
AF8,P6,0.009376,0.00558,0.003797,AF8->P6
C3,F8,0.006565,0.010339,-0.003773,F8->C3
C6,P7,0.011269,0.007498,0.003771,C6->P7
FC2,FC6,0.003381,0.007136,-0.003755,FC6->FC2
CP1,PO4,0.016111,0.01986,-0.003749,PO4->CP1
Fp1,AF7,0.01906,0.015322,0.003739,Fp1->AF7
CP1,AF3,0.011177,0.014911,-0.003734,AF3->CP1
AF8,TP7,0.010026,0.006295,0.00373,AF8->TP7
CP2,Fp1,0.007718,0.011444,-0.003726,Fp1->CP2
C5,Fpz,0.00705,0.010772,-0.003722,Fpz->C5
CP5,Pz,0.007586,0.011278,-0.003692,Pz->CP5
C3,Pz,0.012372,0.016051,-0.003679,Pz->C3
FC5,AF3,0.007912,0.011568,-0.003657,AF3->FC5
C2,Fp1,0.008932,0.012588,-0.003656,Fp1->C2
C6,AF3,0.011179,0.014831,-0.003653,AF3->C6
F4,PO3,0.00667,0.010313,-0.003643,PO3->F4
C6,Iz,0.010941,0.007306,0.003635,C6->Iz
C3,PO8,0.013865,0.010249,0.003616,C3->PO8
Fp2,AF7,0.021367,0.017778,0.00359,Fp2->AF7
AF8,P3,0.011981,0.008452,0.003529,AF8->P3
Cz,P8,0.012367,0.008859,0.003508,Cz->P8
CP1,AF7,0.008112,0.011613,-0.003501,AF7->CP1
CP5,P1,0.0054,0.008875,-0.003475,P1->CP5
AF4,AF8,0.012474,0.015922,-0.003448,AF8->AF4
CP5,AF4,0.009572,0.01302,-0.003448,AF4->CP5
AF3,Fz,0.011741,0.008295,0.003447,AF3->Fz
C2,Fp2,0.007977,0.011422,-0.003446,Fp2->C2
AF7,P1,0.012288,0.008853,0.003435,AF7->P1
Cz,Fp2,0.008523,0.011952,-0.003429,Fp2->Cz
C3,F1,0.010642,0.007218,0.003424,C3->F1
AF8,P5,0.010431,0.007009,0.003422,AF8->P5
AF4,F6,0.017503,0.014091,0.003413,AF4->F6
C5,F8,0.00691,0.010322,-0.003413,F8->C5
AF8,O2,0.009186,0.005773,0.003413,AF8->O2
AFz,AF4,0.016065,0.012661,0.003404,AFz->AF4
C6,O1,0.010395,0.007006,0.003389,C6->O1
FC3,Cz,0.007116,0.003728,0.003388,FC3->Cz
C4,TP7,0.009678,0.006296,0.003382,C4->TP7
FT8,T10,0.005064,0.008442,-0.003378,T10->FT8
F4,Pz,0.00817,0.011544,-0.003373,Pz->F4
F6,P1,0.00725,0.010623,-0.003373,P1->F6
T8,P3,0.00969,0.006325,0.003365,T8->P3
FC6,AF8,0.01088,0.007518,0.003362,FC6->AF8
C2,TP7,0.008143,0.004782,0.003361,C2->TP7
AF3,POz,0.013149,0.009796,0.003353,AF3->POz
AF3,Pz,0.014282,0.01093,0.003352,AF3->Pz
AF7,F2,0.01261,0.009266,0.003344,AF7->F2
CP5,P3,0.003759,0.007097,-0.003338,P3->CP5
AF7,P2,0.012724,0.009391,0.003333,AF7->P2
C5,TP8,0.011249,0.007921,0.003328,C5->TP8
C3,AF4,0.010024,0.01334,-0.003317,AF4->C3
CP5,AF7,0.006537,0.009851,-0.003314,AF7->CP5
F4,P2,0.007762,0.011068,-0.003306,P2->F4
C5,Oz,0.00982,0.006519,0.003301,C5->Oz
CPz,CP4,0.009033,0.005736,0.003297,CPz->CP4
Fp2,T9,0.0149,0.011606,0.003294,Fp2->T9
T9,O1,0.009514,0.006223,0.003291,T9->O1
AF7,Fz,0.012165,0.008875,0.003291,AF7->Fz
Fpz,T7,0.008928,0.00564,0.003288,Fpz->T7
AF8,P4,0.009872,0.006587,0.003285,AF8->P4
Fp1,AF3,0.027719,0.024436,0.003283,Fp1->AF3
C4,O1,0.015086,0.011809,0.003278,C4->O1
CP6,AFz,0.007574,0.010843,-0.00327,AFz->CP6
AF7,F5,0.019451,0.01618,0.00327,AF7->F5
C1,Fp1,0.0092,0.012463,-0.003264,Fp1->C1
C4,PO3,0.016617,0.013355,0.003262,C4->PO3
CPz,AF3,0.012598,0.015858,-0.00326,AF3->CPz
F4,PO7,0.006889,0.010143,-0.003254,PO7->F4
C5,Iz,0.009722,0.00647,0.003252,C5->Iz
C1,CP6,0.007857,0.004607,0.00325,C1->CP6
C6,P1,0.01196,0.008716,0.003244,C6->P1
C2,Iz,0.012996,0.009765,0.003231,C2->Iz
T9,P2,0.011287,0.008091,0.003197,T9->P2
T10,P1,0.010636,0.007439,0.003197,T10->P1
T8,PO3,0.009004,0.005811,0.003193,T8->PO3
AF4,PO8,0.011558,0.008367,0.003192,AF4->PO8
T9,Oz,0.010421,0.007231,0.003189,T9->Oz
C2,P1,0.012431,0.015615,-0.003184,P1->C2
T10,PO3,0.010171,0.006991,0.00318,T10->PO3
CP2,P8,0.009303,0.006126,0.003177,CP2->P8
C6,TP7,0.009725,0.006556,0.003168,C6->TP7
AF8,Iz,0.010243,0.007076,0.003167,AF8->Iz
T10,PO8,0.008617,0.005452,0.003166,T10->PO8
AF3,AF4,0.020338,0.017181,0.003157,AF3->AF4
C2,P5,0.013074,0.00992,0.003154,C2->P5
AF7,F3,0.022339,0.019188,0.003151,AF7->F3
AF4,P8,0.012561,0.009418,0.003144,AF4->P8
CPz,AF7,0.00896,0.012102,-0.003142,AF7->CPz
PO4,Iz,0.005451,0.008593,-0.003142,Iz->PO4
F6,Pz,0.007187,0.010322,-0.003134,Pz->F6
AFz,F5,0.01111,0.007978,0.003132,AFz->F5
Cz,CPz,0.004796,0.007922,-0.003127,CPz->Cz
AF7,POz,0.011961,0.008842,0.003119,AF7->POz
F4,P7,0.007309,0.010416,-0.003107,P7->F4
C6,Oz,0.010471,0.007369,0.003102,C6->Oz
T10,O1,0.009374,0.006272,0.003102,T10->O1
FC1,C1,0.00622,0.00312,0.0031,FC1->C1
C3,PO4,0.016255,0.013171,0.003084,C3->PO4
AF4,F4,0.024828,0.021744,0.003084,AF4->F4
FC1,Cz,0.005964,0.002885,0.003079,FC1->Cz
C5,AF4,0.009432,0.01251,-0.003078,AF4->C5
C2,PO7,0.013526,0.010452,0.003074,C2->PO7
T10,PO4,0.008298,0.005236,0.003062,T10->PO4
CP5,F8,0.005933,0.008991,-0.003058,F8->CP5
C3,O2,0.014534,0.01148,0.003054,C3->O2
T9,PO4,0.010919,0.00787,0.003049,T9->PO4
T10,PO7,0.009807,0.006761,0.003046,T10->PO7
CP5,POz,0.008421,0.011465,-0.003044,POz->CP5
T8,P1,0.008876,0.005839,0.003037,T8->P1
T10,POz,0.00915,0.006114,0.003036,T10->POz
FC2,P5,0.004987,0.001952,0.003035,FC2->P5
T10,P4,0.00848,0.005448,0.003032,T10->P4
T10,P3,0.010579,0.007555,0.003025,T10->P3
AF4,O1,0.011739,0.008717,0.003022,AF4->O1
Pz,PO3,0.007964,0.004952,0.003012,Pz->PO3
Fpz,T8,0.010623,0.007628,0.002996,Fpz->T8
FC4,AF8,0.007746,0.004758,0.002988,FC4->AF8
P3,Pz,0.005043,0.008019,-0.002976,Pz->P3
AF8,T7,0.008038,0.005065,0.002973,AF8->T7
T10,P2,0.00933,0.006365,0.002965,T10->P2
C5,P2,0.011229,0.008264,0.002965,C5->P2
CP3,F8,0.005121,0.008074,-0.002953,F8->CP3
CP3,P8,0.018642,0.015691,0.002951,CP3->P8
CP2,Pz,0.007374,0.010323,-0.002949,Pz->CP2
FC5,F7,0.012289,0.015225,-0.002936,F7->FC5
FC5,FC6,0.007607,0.010541,-0.002935,FC6->FC5
F4,Iz,0.007632,0.010563,-0.002931,Iz->F4
CP3,PO3,0.009476,0.012405,-0.00293,PO3->CP3
T9,O2,0.011096,0.00817,0.002926,T9->O2
FC4,FC6,0.004652,0.007576,-0.002924,FC6->FC4
AF7,F4,0.012937,0.010016,0.002921,AF7->F4
C6,POz,0.010487,0.007571,0.002916,C6->POz
F6,P3,0.0081,0.011011,-0.002911,P3->F6
FCz,P5,0.00456,0.00165,0.00291,FCz->P5
CP5,AF3,0.008666,0.011574,-0.002908,AF3->CP5
T9,P4,0.010935,0.008028,0.002907,T9->P4
CP5,P2,0.009732,0.012628,-0.002896,P2->CP5
C1,Iz,0.01237,0.009485,0.002886,C1->Iz
AF7,F1,0.015921,0.013046,0.002875,AF7->F1
FC6,Cz,0.006574,0.003699,0.002874,FC6->Cz
C2,Fz,0.009453,0.006588,0.002865,C2->Fz
AF7,Pz,0.012144,0.009282,0.002861,AF7->Pz
C1,AF8,0.00643,0.009287,-0.002858,AF8->C1
F4,P4,0.007602,0.010447,-0.002845,P4->F4
CP4,P8,0.010433,0.00759,0.002843,CP4->P8
C3,Fz,0.009692,0.00685,0.002842,C3->Fz
C2,F1,0.009686,0.006846,0.00284,C2->F1
Cz,Fz,0.009687,0.006851,0.002836,Cz->Fz
C1,P3,0.009887,0.012717,-0.00283,P3->C1
Fp2,F7,0.012921,0.010097,0.002825,Fp2->F7
FC4,Cz,0.005657,0.002833,0.002824,FC4->Cz
FCz,AFz,0.006934,0.004116,0.002818,FCz->AFz
C1,Fz,0.009246,0.00644,0.002806,C1->Fz
AF4,Oz,0.011886,0.009081,0.002804,AF4->Oz
Fz,P8,0.009694,0.0069,0.002794,Fz->P8
C5,CP6,0.009105,0.006316,0.002788,C5->CP6
Cz,P7,0.00973,0.006955,0.002775,Cz->P7
CP1,AFz,0.011977,0.014736,-0.002759,AFz->CP1
C4,F2,0.011348,0.008589,0.002759,C4->F2
CP5,P8,0.015169,0.012414,0.002755,CP5->P8
C4,CP1,0.006686,0.009441,-0.002755,CP1->C4
CP2,F1,0.008214,0.005461,0.002753,CP2->F1
Fp1,AF8,0.016664,0.013919,0.002745,Fp1->AF8
